"#satisfio, satisferi, satisfactus sum  V SEMIDEP                                                     [XXXAO] :: be satisfied; be compensated; be given enough/sufficient; (satisfacio PASS);"
"#scio, scire, scivi(ii), scitus  V TRANS                                                             [XXXAX] :: know, understand;"
"#SELAH, undeclined  V                                                                                [DEQEW] :: selah, musical pause (Psalms); sing loud; change pitch; (full meaning unknown);"
"#servo, servare, additional, forms  V                                                                [XXXDX] :: watch over; protect, store, keep, guard, preserve, save;"
"#stupefio, stupeferi, stupefactus sum  V SEMIDEP                                                     [DXXDX] :: be stunned (w/amazement), be stupefied/struck senseless; (stupefacio PASS);"
"#subedo, subesse, -, -  V                                                                            [XXXDX] :: eat away below;"
"#subeo, subire, subivi(ii), subitus  V INTRANS                                                       [XXXAO] :: go/move/pass/sink/extend underneath/into; climb/come/go up, ascend; steal in on;"
"#subeo, subire, subivi(ii), subitus  V INTRANS                                                       [XXXAO] :: |place/be placed under/in support; come up w/aid; assume a form; undergo, endure"
"#subintroeo, subintroire, subintroivi(ii), subintroitus  V TRANS                                     [EXXES] :: go into, enter;"
"#subsum, subesse, subfui, subfuturus  V                                                              [XXXDX] :: be underneath/a basis for discussion/close at hand as a reserve, be near;"
"#suffero, sufferre, sustuli, sublatus  V                                                             [XXXDX] :: bear, endure, suffer;"
"#superfio, superferi, superfactus sum  V SEMIDEP                                                     [XXXDS] :: be left over; be left/remain (as residue); become superfluous/redundant;"
"#supersum, superesse, superfui, superfuturus  V                                                      [XXXAX] :: be left over; survive; be in excess/superfluous (to); remain to be performed;"
"#tabefio, tabeferi, tabefactus sum  V SEMIDEP                                                        [EXXES] :: be melted/dissolved/subdued; (tabefacio PASS);"
"#TECEL, undeclined  V                                                                                [EEQFW] :: TEKEL; (MENE TEKEL PHARES writing on the wall - Vulgate Daniel 5:25);"
"#tepefio, tepeferi, tepefactus sum  V SEMIDEP                                                        [XXXDX] :: be warmed; be made warm, be warmed up; (tepefacio PASS);"
"#trafero, traferre, tratuli, tralatus  V TRANS                                                       [XXXAO] :: transport/convey/transfer/shift; transpose; carry/bring across/over; transplant;"
"#trafero, traferre, tratuli, tralatus  V TRANS                                                       [XXXAO] :: |copy out (writing); translate (language); postpone, transfer date; transform;"
"#transabeo, transabire, transabivi(ii), transabitus  V                                               [XXXDX] :: go away beyond;"
"#transeo, transire, transivi(ii), transitus  V                                                       [XXXAX] :: go over, cross;"
"#transfero, transferre, transtuli, translatus  V TRANS                                               [XXXAO] :: transport/convey/transfer/shift; transpose; carry/bring across/over; transplant;"
"#transfero, transferre, transtuli, translatus  V TRANS                                               [XXXAO] :: |copy out (writing); translate (language); postpone, transfer date; transform;"
"#vacefio, vaceferi, vacefactus sum  V SEMIDEP                                                        [XXXFO] :: become/be made empty; be vacated;"
"#veneo, venire, venivi(ii), venitus  V                                                               [XXXBO] :: go for sale, be sold (as slave), be disposed of for (dishonorable/venal) gain;"
#viden             V      2 1 PRES ACTIVE  IND 2 S      TRANS                                        [XXXCS] :: do you not see; or consider; (vides-ne);
#vis               V      6 2 PRES ACTIVE  IND 2 S                                                   [XXXAX] :: be willing; wish;
"#volo, velle, volui, -  V                                                                            [XXXAX] :: wish, want, prefer; be willing, will;"
"#vulo, -, -, -  V                                                                                    [XXXEX] :: wish, want, prefer; be willing, will;"
#vult              V      6 2 PRES ACTIVE  IND 3 S                                                   [XXXAX] :: be willing; wish;
#vultis            V      6 2 PRES ACTIVE  IND 2 P                                                   [XXXAX] :: be willing; wish;
