"","V1","V2"
"788","comminav","drive (cattle) together, round up;"
"789","commitigav","soften; make soft (L+S); mellow;"
"790","commodav","lend, hire; give, bestow, provide; put at disposal of, oblige; make fit, adapt;"
"791","commonstrav","point out (fully/distinctly), show where; make known, declare, reveal;"
"792","commorav","stop/stay/remain, abide; linger, delay; detain, be delayed (menses); dwell on;"
"793","commorsicav","bite all over; devour (with eyes); bite to pieces (L+S);"
"794","commorsitav","bite all over; devour (with eyes); bite to pieces (L+S);"
"795","commostrav","point out (fully/distinctly), show where; make known, declare, reveal;"
"796","commotav","move very violently; agitate;"
"797","commulcav","beat violently/thoroughly;"
"798","commundav","clean/cleanse thoroughly; purify wholly (L+S);"
"799","communicav","share; share/divide with/out; receive/take a share of; receive; join with;"
"800","communicav","|communicate, discuss, impart; make common cause; take common counsel, consult;"
"801","commurmurav","mutter, murmur; rumble; chatter/twitter (birds);"
"802","commutav","change; alter wholly, rearrange, replace; transform; exchange, barter, sell;"
"803","compacav","bring to peace;"
"804","compaginav","join together; border upon; (fields);"
"805","compalpav","stroke, caress;"
"806","comparav","prepare; provide; compose; collect, get together/hold of; raise (force); unite;"
"807","comparav","|place together, match, couple, pair; set/pit against; treat as equal; compare;"
"808","comparav","||set up/establish/institute; arrange, dispose, settle; buy, acquire, secure;"
"809","compeccav","err/sin/commit a fault together;"
"810","compellav","address/accost, speak to, call upon; appeal to; challenge; chide/rebuke; accuse;"
"811","compendiav","shorten, abridge (sermon); shorten/cut short (life), kill;"
"812","compensav","balance/weigh/offset; get rid of; make good, compensate; save/secure; short cut;"
"813","comperendinav","adjourn trial of a person; adjourn trial; (for two days or later);"
"814","compilav","rob/pillage, snatch; steal from (another author)/plagiarize; beat up thoroughly;"
"815","complacav","conciliate (greatly), placate; win sympathy of;"
"816","complanav","make (ground) level/flat; smooth out (trouble); pull down, raze to ground;"
"817","complantav","plant together;"
"818","complexav","embrace closely; join, combine (Ecc);"
"819","complicav","fold/tie up/together; roll/curl/double up, wind (round); involve; bend at joint;"
"820","complicu","fold/tie up/together; roll/curl/double up, wind (round); involve; bend at joint;"
"821","complorav","bewail, bemoan; lament loudly/together/violently; despair of; morn for;"
"822","comportav","carry, transport, bring in, convey (to market); bring together; amass, collect;"
"823","compotav","drink together;"
"824","comprehensav","seize in an embrace; embrace, hug;"
"825","compressav","press; oppress;"
"826","comprobav","approve, accept, sanction, ratify; prove, justify, confirm, attest, bear out;"
"827","compugnav","fight together/with; struggle together (in argument);"
"828","compulsav","batter, pound;"
"829","compurgav","purify completely/thoroughly;"
"830","computav","reckon/compute/calculate, sum/count (up); take/include in reckoning; work out;"
"831","conangustav","confine to narrow space, cramp; make narrower; narrow scope/application;"
"832","conauditav","confine to narrow space, cramp; make narrower; narrow scope/application;"
"833","concacav","soil, pollute, defile, make foul (with excrement/ordure/dung);"
"834","concalav","summon;"
"835","concamarav","cover with an arch/vault, vault over;"
"836","concamerav","cover with an arch/vault, vault over;"
"837","concarnav","incarnate, unite/clothe with flesh;"
"838","concastigav","chastise severely/thoroughly, punish; censure, dress down;"
"839","concatenav","link/bind together; connect;"
"840","concavav","hollow out; round, curve; give hollow/curved form; hollows (pl.), a glen (Ecc);"
"841","concelebrav","celebrate, make known; go often/in large numbers/together, frequent, haunt;"
"842","concelav","keep secret, conceal altogether; conceal carefully (L+S);"
"843","concenturiav","assemble by centuries, gather by hundreds; marshal, bring together, prepare;"
"844","conceptav","conceive, become pregnant; conceive in mind;"
"845","concerav","connect, join, twine; join in conflict;"
"846","concertav","fight, engage in a contest, vie with; dispute, debate (zealously); argue over;"
"847","concessav","cease/desist temporarily, leave off; rest;"
"848","conciliav","unite, bring together/about; cause; win over, attract; acquire, procure, buy;"
"849","conciliav","|attract favor of, render favorably disposed; commend, endear; acquire; gain;"
"850","conciliav","||bring a woman to man as wife, match; procure as a mistress; obtain improperly;"
"851","concinnav","prepare/make ready; repair, put/set right/in order, touch up; arrange suitably;"
"852","concinnav","|make up, construct, concoct, put together; bring about, cause; render, make;"
"853","concipilav","seize, take, catch; lay violent hands on;"
"854","concitav","stir up, disturb; discharge/hurl (missile); flow rapidly/strong current; rush;"
"855","concitav","|rush; urge/rouse/agitate; enrage/inflame; spur/impel; summon/assemble; cause;"
"856","conclamitav","keep shouting loudly; cry; call/cry out loudly (L+S);"
"857","conclamav","cry/shout aloud/out; make resound w/shouts; give a signal; summon; bewail/mourn;"
"858","concopulav","join, unite;"
"859","concordav","harmonize; be in harmony/agreement/on good terms/friendly; agree; go by pattern;"
"860","concorporav","unite into a single body, make one; incorporate (L+S);"
"861","concrassav","thicken, make thick;"
"862","concremav","consume by fire; burn up/down entirely/completely/thoroughly; burn together;"
"863","concreav","create together;"
"864","concrepatiav","rattle/sound much/thoroughly/loudly;"
"865","concrepu","make noise (door), grate/creak; sound, crash/clash, rattle; snap (fingers);"
"866","concrispav","curl (hair); move in curls, curl/swirl (vapors/fog); brandish (weapon) (L+S);"
"867","concrucifigav","crucify together;"
"868","concrusiav","cause violent pain; torment, rack, torture severely;"
"869","concubav","lie with (sexual and not); have sexual intercourse with;"
"870","conculcav","tread/trample upon/underfoot/down; crush, oppress; despise, disregard;"
"871","concurav","attend to thoroughly/completely; care for suitably (L+S);"
"872","concursav","rush/run to and fro/about/together/to visit; clash; visit in turn; run through;"
"873","concurvav","bend down; bend, curve (L+S);"
"874","condecorav","adorn, embellish with ornament/excessively/carefully; decorate, grace;"
"875","condelectav","delight in; (PASSIVE) be delighted with something;"
"876","condemnav","condemn, doom, convict; find guilty; (pass) sentence; blame, censure, impugn;"
"877","condensav","compress; pack/press closely together; condense/make firm; (PASS) grow thickly;"
"878","condomav","check, curb; tame completely;"
"879","condonav","give (away/up); present; make present of; forgive/pardon/absolve; sacrifice to;"
"880","condulcav","sweeten;"
"881","condumnav","condemn, doom, convict; find guilty; (pass) sentence; blame, censure, impugn;"
"882","conduplicav","double, make twofold/twice as much/great; make two kinds; embrace (w/corpora);"
"883","condurav","harden, make hard;"
"884","conestav","honor, grace; do honor/pay respect to; make respectable; prevent baldness (L+S);"
"885","confarreav","marry by confarreatio (ceremony with meal/grain offering); contract marriage;"
"886","confederav","confederate; join in league;"
"887","confermentav","leaven, ferment through and through;"
"888","conferruminav","cause to join; knit together (fractures); cement (L+S); solder together;"
"889","conferuminav","cause to join; knit together (fractures); cement (L+S); solder together;"
"890","confictav","fabricate/invent/concoct an accusation/falsehood together; counterfeit/feign;"
"891","configurav","mold, shape; form from/after something, fashion accordingly (L+S);"
"892","confirmav","strengthen, develop, build up (w/troops); make secure/firm; reassure; secure;"
"893","confirmav","|assert positively; declare, prove, confirm, support; sanction; encourage;"
"894","confiscav","confiscate/seize (for the public treasury); lay-up in a treasury, store;"
"895","conflabellav","fan violently; kindle;"
"896","conflagrav","be on fire/burn; be burnt down/consumed/utterly destroyed; be/become inflamed;"
"897","conflammav","inflame;"
"898","conflictav","harm, assail, harass, distress, torment, vex; bring to ruin;"
"899","conflictav","|strike frequently/forcibly/violently; buffet; ruin;"
"900","conflav","kindle/ignite, blow on; arouse/stir up; melt (down); cast/weld; run up debt;"
"901","conflav","|start, cause, bring about; bring/rake together, compose; invent/concoct (lie);"
"902","conflav","||forge; refine, purify; inflame;"
"903","confluctuav","wave, swell, undulate, fluctuate; surge/rise in waves on all sides (L+S);"
"904","confoederav","unite, join in a league;"
"905","confoedav","befoul, make filthy;"
"906","conformav","shape/mold skillfully; outline, describe; train/educate/teach; make to agree;"
"907","confornicav","vault over, over-arch, cover with an arched roof;"
"908","confortav","strengthen very much; (reinforce, fortify); console, comfort (Bee); encourage;"
"909","confrequentav","visit frequently/in large numbers, frequent; increase in numbers;"
"910","confrequentav","|celebrate/keep (festival); keep in mind; maintain (memory of the dead);"
"911","confricav","rub vigorously; rub (with unguents, massage, rub down (body); rub/make smooth;"
"912","confriav","cover with power (or the like); rub in (L+S);"
"913","confrixav","roast/fry (with something);"
"914","confrontav","confront;"
"915","confunerav","bury, inter; ruin, destroy;"
"916","confutav","restrain, check, repress, dampen, suppress, diminish; keep from boiling over;"
"917","confutav","|abash, silence (accuser); shock; disprove, refute; convict of error; put down;"
"918","confutuav","have sexual intercourse with (woman); (rude); lie with conjugally (L+S);"
"919","congelav","cause to freeze/congeal/grow hard; (PASS) become frozen, congeal/curdle/freeze;"
"920","congelav","|harden; make/become hard; strike fear into, chill; render/become inactive;"
"921","congeminav","double; increase; combine to double size; redouble; employ in repeated action;"
"922","congenerav","bind by ties of kinship, unite; give birth/beget/produce at the same time;"
"923","congeniclav","fall on one's knees;"
"924","congenuclav","fall on one's knees;"
"925","congerminav","sprout, put forth shoots; shoot forth at the same time (L+S);"
"926","congestav","bring/carry together;"
"927","conglaciav","freeze, turn (entirely) to ice; cause to freeze up; be inactive;"
"928","conglobav","form/make into a ball; roll up; accumulate; crowd/press/mass together; clot;"
"929","conglomerav","concentrate, gather into a compact mass; heap (evils upon a person) (w/in+ACC);"
"930","conglorificav","glorify together with (others); (PASSIVE) be glorified with;"
"931","conglutinav","bind (books);"
"932","conglutinav","glue/stick/bind/cohere together; cement; cleave to; bring to agreement; devise;"
"933","congraecav","squander like a Greek; lavish on banquets, squander on luxury (L+S);"
"934","congregav","collect/bring together/assemble/convene; flock, congregate; group; concentrate;"
"935","congyrav","circle, make a circle around a person;"
"936","coninquinav","befoul/pollute/defile wholly (immorality); contaminate/taint/infect (w/disease);"
"937","coniscav","brandish/shake/quiver; flash/glitter, emit/reflect intermittent/quivering light;"
"938","conjectav","conjecture, think, imagine, infer, guess, conclude; judge, draw a conclusion;"
"939","conjectav","|throw together; assemble; throw (person in prison); interpret (portent);"
"940","conjugav","join in marriage; form a friendship; join together, unite in (L+S);"
"941","conjurav","swear/act together, join in an oath/plot; conspire, plot; form alliance/league;"
"942","conlabefactav","cause to topple over; make to reel/totter (L+S); overpower/subdue; melt (metal);"
"943","conlabellav","make/form by putting the lips together;"
"944","conlabav","labor/work with/together;"
"945","conlacerav","lacerate severely; tear to pieces (L+S);"
"946","conlacrimav","weep together, weep in the company of someone; weep over/for (w/ACC); bewail;"
"947","conlacrumav","weep together, weep in the company of someone; weep over/for (w/ACC); bewail;"
"948","conlaterav","admit on both sides;"
"949","conlatrav","bark in chorus at; bark/yelp fiercely at (L+S); inveigh against;"
"950","conlaudav","praise/extol highly; commend; eulogize;"
"951","conlaxav","loosen; make loose/porous (L+S);"
"952","conlevav","make (entirely) smooth; smooth;"
"953","conlibrav","measure; measure off (L+S);"
"954","conligav","bind/tie/pack together/up, connect, unite/unify; fetter/bind; immobilize, stop;"
"955","conlimitav","border upon; (w/DAT);"
"956","conlimav","direct (the eyes) sideways; glance sidelong;"
"957","conlineav","align, direct, aim;"
"958","conliniav","align, direct, aim;"
"959","conlocav","place/put/set in order/proper position, arrange; station, post, position; apply;"
"960","conlocav","|put together, assemble; settle/establish in a place/marriage; billet; lie down;"
"961","conlocupletav","enrich, make wealthy/very rich; embellish, adorn;"
"962","conlucav","prune; thin out (trees); clear/thin (forest) (L+S);"
"963","conluminav","illuminate (on all sides/fully);"
"964","conlustrav","illuminate, make bright, light up fully; look over, survey; traverse, explore;"
"965","conlutitav","soil/defile greatly/thoroughly;"
"966","conlutlentav","cover over with mud;"
"967","conmemorav","recall (to self/other); keep in mind, remember; mention/relate; place on record;"
"968","conmitigav","soften; make soft (L+S); mellow;"
"969","conmonstrav","point out (fully/distinctly), show where; make known, declare, reveal;"
"970","conmorav","stop/stay/remain, abide; linger, delay; detain, be delayed (menses); dwell on;"
"971","conmostrav","point out (fully/distinctly), show where; make known, declare, reveal;"
"972","conmunicav","share; share/divide with/out; receive/take a share of; receive; join with;"
"973","conmunicav","|communicate, discuss, impart; make common cause; take common counsel, consult;"
"974","connumerav","reckon in, include in counting/the count; number with, reckon among (L+S);"
"975","conparav","prepare; provide; compose; collect, get together/hold of; raise (force); unite;"
"976","conparav","|place together, match, couple, pair; set/pit against; treat as equal; compare;"
"977","conparav","||set up/establish/institute; arrange, dispose, settle; buy, acquire, secure;"
"978","conpellav","address, accost, speak to, call upon; appeal to; challenge; chide/rebuke; accuse"
"979","conpensav","balance/weigh, offset; get rid of; make good, compensate; save/secure; short cut"
"980","conperendinav","adjourn the trial of a person; adjourn a trial; (for two days or later);"
"981","conpilav","rob, pillage, steal from (another writer), plagiarize; beat up thoroughly;"
"982","conplacav","conciliate (greatly), placate; win the sympathy of;"
"983","conplanav","make (ground) level/flat; smooth out (trouble); pull down, raze to the ground;"
"984","conplicav","fold/tie up/together; roll/curl/double up, wind (round); involve; bend at joint;"
"985","conplicu","fold/tie up/together; roll/curl/double up, wind (round); involve; bend at joint;"
"986","conplorav","bewail, bemoan; lament loudly/together/violently; despair of; morn for;"
"987","conportav","carry, transport, bring in, convey (to market); bring together; amass, collect;"
"988","conpotav","drink together;"
"989","conprehensav","seize in an embrace; embrace, hug;"
"990","conprobav","approve, accept, sanction, ratify; prove, justify, confirm, attest, bear out;"
"991","conpulsav","batter, pound;"
"992","conpurgav","purify completely/thoroughly;"
"993","conputav","reckon/compute/calculate, sum/count (up); take/include in reckoning; work out;"
"994","conquadrav","agree with, be proportioned to; square to;"
"995","conquadrav","make square, square;"
"996","conquassav","shake violently; break, shatter; unsettle, disturb, throw into confusion;"
"997","conquinav","befoul/pollute/defile wholly (immorality); contaminate/taint/infect (w/disease);"
"998","conregnav","reign together with one;"
"999","conreptav","creep;"
"1000","conresuscitav","raise up/from the dead together;"
"1001","conrivav","lead/channel (water) into the same channel/basin, collect;"
"1002","conroborav","strengthen, harden, reinforce; corroborate; mature; make powerful, fortify;"
"1003","conrogav","collect money by begging/entreaty; summon/invite (persons) to a gathering;"
"1004","conrotundav","make round; round off; amass/make up a round sum of money;"
"1005","conrugav","make wrinkled; (make one turn up one's nose); corrugate;"
"1006","conrutundav","make round; round off; amass/make up a round sum of money;"
"1007","consacrav","consecrate/dedicate, set apart; hallow, sanctify; deify; curse; vow to a god;"
"1008","consaeptav","surround with a wall/fence/hedge; enclose, fence; fence/hedge in;"
"1009","consalutav","hail/greet/salute (as); exchange greetings; greet/salute cordially (L+S);"
"1010","consanav","heal; make whole; make wholly sound (L+S);"
"1011","consarcinav","stitch/sew/patch together;"
"1012","consauciav","injure, wound severely;"
"1013","consaviav","cover with kisses; kiss affectionately (L+S);"
"1014","conscelerav","stain with crime, pollute with guilt, dishonor, disgrace by wicked conduct;"
"1015","conscribillav","scrawl/scribble over/upon, cover with scribbling; mark by beating (L+S);"
"1016","consecu","dismember, chop/cut up/short/off/in pieces/deep; prune/top; lacerate; intersect;"
"1017","consecrav","consecrate/dedicate, set apart; hallow, sanctify; deify; curse; vow to a god;"
"1018","consedav","stop, check, allay; still, quiet (L+S);"
"1019","conseptav","surround with a wall/fence/hedge; enclose, fence; fence/hedge in;"
"1020","conservav","keep safe/intact, save (from danger); preserve, maintain; spare; keep/observe;"
"1021","considerav","examine/look at/inspect; consider closely, reflect on/contemplate; investigate;"
"1022","consignificav","be significant; convey extra meaning;"
"1023","consignav","(fix a) seal; put on record; indicate precisely/establish; attest/authenticate;"
"1024","consimilav","compare;"
"1025","consociav","associate/join/unite (in), share; bring in close relation/alliance/partnership;"
"1026","consolidav","solidify, make solid/thick; merge (usufruct) attached property, consolidate;"
"1027","consolav","console, cheer, comfort; (PASS) console oneself, take comfort;"
"1028","consomniav","dream of;"
"1029","consonu","sound/utter/make noise together, harmonize; resound/re-echo; agree;"
"1030","conspirav","plot/conspire/unite; sound/act in unison/harmony/accord; blow together (horns);"
"1031","conspirav","coil up;"
"1032","conspissav","thicken; condense;"
"1033","conspoliav","rob;"
"1034","conspurcav","befoul, pollute; defile sexually;"
"1035","consputav","spit on/over; (in contempt);"
"1036","constagnav","cause to stand; congeal;"
"1037","constiti","it is agreed/evident/understood/correct/well known (everyone knows/agrees);"
"1038","consternav","confound/shock/confuse/perplex/dismay; terrify/alarm/frighten, drive frantic;"
"1039","consternav","|overcome; stretch/lay out upon the ground; excite to sedition/revolt/mutiny;"
"1040","constipav","crowd together; press/crowd closely together (L+S);"
"1041","constit","agree/correspond/fit, be correct; be dependent/based upon; exist/continue/last;"
"1042","constit","|be certain/decided/consistent/sure/fixed/established/well-known/apparent/plain;"
"1043","constit","||stand firm/still/erect/together; remain motionless/constant; consist of/in;"
"1044","constrictav","draw together; (medical term associated with cauterization and amputation);"
"1045","constuprav","ravish, rape; debauch, defile, corrupt; have illicit (adultery/forcible) sex;"
"1046","consuaviav","cover with kisses; kiss affectionately (L+S);"
"1047","consudav","sweat profusely/well/a lot; (also applied to packed olives/fruit);"
"1048","consultav","consult, take counsel; form plans, provide; consult oracle/astrologer;"
"1049","consultav","|deliberate, debate, discuss; consider carefully, weigh, ponder;"
"1050","consummav","add/reckon/total/sum/make up; finish off, end; bring about, achieve/accomplish;"
"1051","consummav","|bring to perfection; put finishing/crowning touch; serve one's time; be grown;"
"1052","consusrrav","whisper together;"
"1053","contabulav","board over, cover with boards; furnish with roof/floor/bridge; build; bridge;"
"1054","contaminav","corrupt, defile (w/filth/intercourse), stain, befoul spoil; ruin, dishonor;"
"1055","contaminav","|debase w/mixture of inferior material; contaminate, infect; pollute (morally);"
"1056","contemerav","violate; defile, pollute; stain;"
"1057","contemperav","temper (by mixing) (drink); moderate (L+S);"
"1058","contemplav","observe/note/notice, gaze/look hard at, regard; contemplate/consider carefully;"
"1059","contemporav","be contemporary, be at the same time;"
"1060","contenebrav","grow dark;"
"1061","conterebrav","pierce/bore through;"
"1062","conterminav","border on; be a borderer, have a common boundary;"
"1063","conternav","divide into groups of three; (persons);"
"1064","contesserav","contract friendship with tesserae (token divided between friends as sign);"
"1065","contignav","join/furnish with joists/beams; rafter, floor;"
"1066","continuav","make continuous (space/time); put in line, join (in succession), connect, unite;"
"1067","continuav","|bridge (gap); extend/prolong/draw out/last/renew; keep on; do without pause;"
"1068","continuav","||adjourn;"
"1069","contonavi","it thunders violently/loudly/heavily;"
"1070","contractav","handle, finger, touch repeatedly; feel; handle unlawfully (theft/embezzlement);"
"1071","contractav","|caress/fondle, handle amorously; have sex with; deal with/handle/apply oneself;"
"1072","contrectav","touch repeatedly, handle, finger; feel; handle unlawfully (theft/embezzlement);"
"1073","contrectav","|handle amorously, caress/fondle; have sex with; deal with/handle/apply oneself;"
"1074","contribulav","crush, bruise; afflict much, crush;"
"1075","contricav","fritter away, waste;"
"1076","contristav","sadden, make gloomy, depress, discourage; afflict, sap, damage (crops); darken;"
"1077","contrucidav","slaughter/butcher; cut/hew down/about; cut to/in pieces;"
"1078","contrucidav","|inflict many wounds on, kill large numbers; slay (L+S); put to the sword;"
"1079","contruncav","hack/cut down/to pieces; gobble up, dispatch (food);"
"1080","contumeliav","insult; treat outrageously;"
"1081","contumulav","bury, inter; heap together; heap up like a mound (L+S); furnish with a mound;"
"1082","conturbav","confuse, disquiet/confound/derange/dismay, upset/mix up; go bankrupt, default;"
"1083","conturmav","arrange in turmae/squadrons (cavalry);"
"1084","convalidav","validate, make valid;"
"1085","convallav","surround with a rampart/entrenchment; hedge in; encircle, surround (L+S);"
"1086","convariav","vary, be different;"
"1087","convariav","spot, variegate;"
"1088","convasav","pack up (baggage); pack vessels/implements together (L+S); pile up;"
"1089","convectav","carry/bring together (in abundance); gather, collect;"
"1090","convelav","cover (over), veil; wrap around;"
"1091","convenustav","ornament, adorn;"
"1092","converberav","beat, batter; bruise; strike severely (L+S); chastise;"
"1093","conversav","turn, turn over in the mind, ponder; turn around (L+S);"
"1094","convexav","jostle, push against; press/squeeze together (L+S);"
"1095","convibrav","move rapidly, flash; set in rapid motion; move something quickly/rapidly;"
"1096","conviolav","violate, desecrate (tomb/etc.);"
"1097","conviserav","incorporate, unite;"
"1098","convitiav","attack/injure at some later time;"
"1099","convivificav","quicken together; revive, give/restore life together (physical/spiritual);"
"1100","convivav","give/attend dinner party/banquet; carouse; eat/feast together (L+S); live with;"
"1101","convocav","call/bring together; assemble; convoke/convene; summon/muster; collect (thing);"
"1102","convolnerav","wound/inflict severe wounds (person/body part); cut; bore, perforate (pipe);"
"1103","convolav","fly/flock together; run together; assemble rapidly; have recourse to (w/ad);"
"1104","convolutav","whirl/roll around rapidly?;"
"1105","convorav","eat up, devour;"
"1106","convulnerav","inflict severe wounds (on person/part of body); cut; bore, perforate (pipe);"
"1107","cooperav","work with/together, cooperate (with); combine, unite;"
"1108","cooptav","choose (colleague in office), elect; co-opt, admit;"
"1109","coordinav","coordinate, arrange together; set in order; correlate;"
"1110","coptav","choose (colleague in office), elect; co-opt, admit;"
"1111","copulav","connect, join physically, couple; bind/tie together, associate, unite, ally;"
"1112","coquinav","befoul/pollute/defile wholly; (coinquino); contaminate/taint/infect (w/disease);"
"1113","coquinav","cook, prepare food;"
"1114","coquitav","cook; boil, fry, bake; burn, parch (sun); stir up; ripen, mature (plot); digest;"
"1115","coracinav","caw (like a crow); croak (like a frog);"
"1116","coronav","wreathe, crown, deck with garlands; award prize; surround/encircle, ring round;"
"1117","corporav","kill, strike dead; form into a body, furnish w/a body; form (corporate society);"
"1118","corregnav","reign together with one;"
"1119","correptav","creep;"
"1120","corresuscitav","raise up/from the dead together;"
"1121","corrivav","lead/channel (water) into the same channel/basin, collect;"
"1122","corroborav","strengthen, harden, reinforce; corroborate; mature; make powerful, fortify;"
"1123","corrogav","collect money by begging/entreaty; summon/invite (persons) to a gathering;"
"1124","corrotundav","make round; round off; amass/make up a round sum of money;"
"1125","corrugav","make wrinkled; (make one turn up one's nose); corrugate;"
"1126","corrutundav","make round; round off; amass/make up a round sum of money;"
"1127","coruscav","brandish/shake/quiver; flash/glitter, emit/reflect intermittent/quivering light;"
"1128","cosiderav","examine/look at/inspect; consider closely, reflect on/contemplate; investigate;"
"1129","cosignav","(fix a) seal; put on record; indicate precisely/establish; attest/authenticate;"
"1130","crassav","thicken, condense, make thick;"
"1131","creditav","believe strongly;"
"1132","cremitav","burn; cremate;"
"1133","cremav","burn (to ash)/cremate; consume/destroy (fire); burn alive; make burnt offering;"
"1134","creav","create/bring into being/make; procreate; beget/sire; give birth to;"
"1135","creav","|produce/bear fruit; bring about; cause to grow; elect, appoint, invest;"
"1136","creav","||institute; conjure up; (PASS) be born/spring from; be home/native of;"
"1137","crepitav","rattle/clatter; rustle/crackle; produce rapid succession of sharp/shrill noises;"
"1138","crepu","rattle/rustle/clatter; jingle/tinkle; snap (fingers); harp on, grumble at; fart;"
"1139","crepu","|crack; burst asunder; resound;"
"1140","cressav","increase (size/number/honor), multiply; thrive;"
"1141","cribellav","sift, pass through a sieve;"
"1142","cribrav","sift, pass through a sieve;"
"1143","criminav","accuse, denounce; charge (with); allege with accusation; make accusations;"
"1144","crisav","move the haunches as in copulation (women); (rude);"
"1145","crispicav","curl (hair); make/appear wavy; ripple; shake/brandish; tremble/quiver; wiggle;"
"1146","crispav","curl (hair); make/appear wavy; ripple; shake/brandish; tremble/quiver; wiggle;"
"1147","crissav","move the haunches as in copulation (women); (rude);"
"1148","crocinav","anoint with saffron-ointment;"
"1149","crocitav","croak/caw (like a raven); (loudly L+S);"
"1150","crocav","dye saffron-yellow;"
"1151","crotalissav","clack/sound/rattle with castanets;"
"1152","crotolav","clack, make the characteristic sound of the stork;"
"1153","cruciav","torment, torture; cause grief/anguish; crucify; suffer torture/agony; grieve;"
"1154","cruditav","suffer from indigestion;"
"1155","cruentav","stain/spot/mark with blood; cause to bleed, wound; pollute with blood-guilt;"
"1156","cruentav","|make/dye blood-red; soak/besplatter with any liquid; tinge with red (L+S);"
"1157","cruminav","fill like a purse;"
"1158","crustav","encrust/cover w/layer/coating/plaster; emboss/carve/decorate w/relief/embossing;"
"1159","crystallizav","crystallize;"
"1160","cubitav","recline, lie down, take rest, sleep; lie down often; lie/sleep (sexual);"
"1161","cubu","lie (down/asleep); recline, incline; lie/be in bed, rest/sleep; be sick/dead;"
"1162","cucubav","hoot; (of the screech owl);"
"1163","cuculav","utter the cry of the cuckoo;"
"1164","culav","drive, thrust, shove; (perh. slang); push (one) by/in the culus (Sex rude);"
"1165","culpitav","censure, find fault with; blame/reproach severely/harshly (L+S);"
"1166","culpav","blame, find fault with, censure, reproach, reprove, disapprove; accuse, condemn;"
"1167","cultellav","measure horizontal distances over rough ground with vertical rods;"
"1168","cultellav","|make in shape of a knife; level ground by the coulter (vertical blade on plow);"
"1169","cumulav","heap/pile up/high, gather into a pile/heap; accumulate, amass; load/fill full;"
"1170","cumulav","|increase/augment/enhance; perfect/finish up; (PASS) be made/composed of;"
"1171","cunctav","delay, impede, hold up; hesitate, tarry, linger; be slow to act; dawdle; doubt;"
"1172","cuneav","wedge in, secure by wedging; force in like a wedge; form a wedge, taper; mass;"
"1173","curitav","give frequent/abundant attention to; take care of, cherish (L+S);"
"1174","curav","arrange/see/attend to; take care of; provide for; worry/care about; heal/cure;"
"1175","curav","|undertake; procure; regard w/anxiety/interest; take trouble/interest; desire;"
"1176","cursitav","run about/to-and-fro/habitually; race/run races; resort frequently; be in motion"
"1177","cursav","run/rush/hurry to-and-fro/hither-and-thither; run constantly about; run over;"
"1178","curtav","shorten, cut short, abbreviate; diminish; circumcise; geld; dock (dog's tail);"
"1179","curvav","bend/arch, make curved/bent; form a curve; make stoop/bow/yield; influence;"
"1180","cusav","coin/stamp money;"
"1181","cuspidav","tip, provide with a point; make pointed (L+S);"
"1182","cyathissav","ladle out wine; fill a cyathus/ladle (L+S);"
"1183","cymbalissav","play/strike the cymbals;"
"1184","damnificav","injure; fine;"
"1185","damnav","pass/pronounce judgment, find guilty; deliver/condemn/sentence; harm/damn/doom;"
"1186","damnav","|discredit; seek/secure condemnation of; find fault; bind/oblige under a will;"
"1187","dampnav","pass/pronounce judgment, find guilty; deliver/condemn/sentence; harm/damn/doom;"
"1188","dampnav","|discredit; seek/secure condemnation of; find fault; bind/oblige under a will;"
"1189","dapinav","provide for; meet the cost of; serve up (as food) (L+S);"
"1190","datav","be in habit of giving; make a practice of giving; give away, administer (L+S);"
"1191","deacinav","cleanse of grape-skins/etc.;"
"1192","deaduocav","dis-avow;"
"1193","dealbav","whitewash; whiten (over); plaster, parget (L+S); purify, cleanse (eccl.);"
"1194","deambulav","take a walk, go for a walk; walk abroad (L+S); walk much; promenade;"
"1195","deamav","love dearly; be passionately/desperately in love with; be delighted with/obliged"
"1196","deargentav","take/deprive/strip of silver/money; (late) silver/plate over (L+S);"
"1197","dearmav","disarm; deprive of power; blunt;"
"1198","deartuav","dismember; rend limb from limb (L+S); ruin;"
"1199","deasceav","cut/shape smoothly; efface by cutting, rub out; get the better of; hew/cut w/ax;"
"1200","deasciav","cut/shape smoothly; efface by cutting, rub out; get the better of; hew/cut w/ax;"
"1201","deaurav","gild, gild over; (cover with gold leaf or plate);"
"1202","debellav","fight out/to a finish; bring a battle/war to an end; vanquish, subdue;"
"1203","debilitav","weaken/disable/incapacitate/impair/maim/lame/cripple; deprive of power (to act);"
"1204","deblaterav","babble, utter in a foolish manner; blab out (L+S);"
"1205","debriav","intoxicate;"
"1206","debuccinav","trumpet forth;"
"1207","debucinav","trumpet forth;"
"1208","decachinnav","deride, laugh to scorn;"
"1209","decacrav","consecrate, dedicate; assign/devote (to purpose/function); deify (person) (L+S);"
"1210","decacuminav","top a tree; remove the crown of a tree by lopping;"
"1211","decalauticav","remove/relieve/deprive of a calautica (shoulder-length woman's headdress/hood);"
"1212","decalcav","plaster with lime; coat thoroughly with whitewash;"
"1213","decalvav","make bald, remove the hair; cut/shear off the hair;"
"1214","decantav","decant;"
"1215","decantav","chant, recite singing; reel off, repeat often/harp on; prattle; bewitch/enchant;"
"1216","decapitav","decapitate; behead;"
"1217","decarminav","make prose of verse; disarrange the order of words (in a verse);"
"1218","decarnav","take off the flesh;"
